"food","CRi","CRi_sd","CRi_min","CRi_max","CRi_P99"
"cabbage",1.79,1.79,0.05,22,7.54
"corn",7.83,7.83,0.03,100,40
"fish",4.63,4.63,0.5,50,43.56
"honey",0.46,0.46,0.03,5,2.77
"khat",2.09,2.09,0.05,15,9.22
"meat",1.29,1.29,0,50,8
"milk",2.99,2.99,0.02,28,20.85
"millet",5.92,5.92,0.25,60,20
"onion",1.47,1.47,0,25,5
"pineapple",1.54,1.54,0.2,10,7.68
"potato",2.51,2.51,0.1,150,25
"rice",1.98,1.98,0.12,25,10
"sorghum",7.03,7.03,0.1,50,31.8
"tea",0.59,0.59,0,45,8
"tomato",1.52,1.52,0.05,9,5
"wheat",5.06,5.06,0.25,100,25
"drinking water",1.95,0.64,NA,NA,NA
"swiss chard",1.79,1.94,NA,NA,NA
