"pesticide","food","MRL"
"2,4-d","wheat",2
"acetamiprid","honey",0.05
"aldicarb","honey",0.01
"aldrin","corn",0.01
"aldrin","millet",0.01
"aldrin","rice",0.01
"aldrin","sorghum",0.01
"aldrin","wheat",0.01
"aldrin","meat",0.2
"aldrin","fish",0.3
"aldrin","milk",0.006
"aldrin","honey",0.01
"aldrin","khat",0.02
"aldrin","tea",0.02
"aldrin","cabbage",0.01
"aldrin","onion",0.01
"aldrin","tomato",0.01
"alpha-endosulfan","meat",0.05
"alpha-endosulfan","fish",NA
"alpha-endosulfan","milk",0.05
"alpha-endosulfan","honey",0.01
"alpha-endosulfan","khat",0.1
"alpha-endosulfan","drinking water",0.1
"alpha-endosulfan","cabbage",0.05
"alpha-endosulfan","onion",0.1
"alpha-endosulfan","tomato",0.05
"alpha-hch","honey",NA
"alpha-hch","khat",NA
"alpha-hch","onion",NA
"alpha-hch","tomato",NA
"alpha-hch","wheat",NA
"alpha-hch","meat",NA
"alpha-hch","fish",NA
"alpha-hch","milk",NA
"alpha-hch","cabbage",NA
"benalaxyl","fish",NA
"bendiocarb","fish",NA
"bendiocarb","cabbage",NA
"bendiocarb","swiss chard",NA
"bendiocarb","tomato",NA
"beta-cyfluthrin","fish",NA
"beta-cyfluthrin","cabbage",0.08
"beta-endosulfan","fish",NA
"beta-endosulfan","milk",0.05
"beta-endosulfan","khat",0.1
"beta-endosulfan","drinking water",0.1
"beta-endosulfan","cabbage",0.05
"beta-endosulfan","onion",0.1
"beta-endosulfan","tomato",0.05
"beta-hch","honey",NA
"beta-hch","khat",NA
"beta-hch","onion",NA
"beta-hch","tomato",NA
"beta-hch","fish",NA
"beta-hch","cabbage",NA
"bromophos-ethyl","fish",NA
"bromophos-ethyl","cabbage",0.01
"bromophos-ethyl","onion",0.01
"bromophos-ethyl","tomato",0.01
"butachlor","fish",NA
"carbaryl","fish",NA
"carbaryl","honey",0.05
"carbofuran","honey",0.05
"chlordane","fish",0.3
"chlordane","milk",0.002
"chlordane","tomato",0.01
"chlorflurenol-methyl","pineapple",NA
"chlorflurenol-methyl","tomato",NA
"chlorflurenol-methyl","potato",NA
"chlorothalonil","meat",0.01
"chlorpyrifos","pineapple",0.01
"chlorpyrifos","fish",NA
"chlorpyrifos","honey",0.01
"chlorpyrifos","khat",0.01
"chlorpyrifos","tomato",0.01
"chlorpyrifos","potato",0.01
"chlorpyrifos-methyl","fish",NA
"chlorpyrifos-methyl","cabbage",0.01
"chlorpyrifos-methyl","onion",0.01
"chlorpyrifos-methyl","tomato",0.01
