"pesticide","TRV","source1","OSF","source2"
"2,4-d",0.01,"EPA",NA,NA
"acetamiprid",0.005,"EFSA",NA,NA
"aldicarb",0.001,"EPA",NA,NA
"aldrin",3e-05,"EPA",17,"EPA"
"alpha-endosulfan",0.006,"EPA",NA,NA
"alpha-hch",NA,NA,6.3,"EPA"
"benalaxyl",0.04,"EFSA",NA,NA
"bendiocarb",0.004,"EFSA",NA,NA
"beta-cyfluthrin",0.01,"EFSA",NA,NA
"beta-endosulfan",0.006,"EPA",NA,NA
"beta-hch",NA,NA,1.8,"EPA"
"bromophos-ethyl",0.003,"EFSA",NA,NA
"butachlor",NA,NA,NA,NA
"carbaryl",0.0075,"EFSA",NA,NA
"carbofuran",0.00015,"EFSA",NA,NA
"chlordane",5e-04,"EPA",0.35,"EPA"
"chlorflurenol-methyl",NA,NA,NA,NA
"chlorothalonil",0.015,"EPA",NA,NA
"chlorpyrifos",0.001,"PPDB",NA,NA
"chlorpyrifos-methyl",NA,NA,NA,NA
"cis-chlordane",5e-04,"EPA",0.35,"EPA"
"cis-heptachlor epoxide",1.3e-05,"EPA",9.1,"EPA"
"cyhalothrin",0.005,"EPA",NA,NA
"cymiazole",NA,NA,NA,NA
"cypermethrin",0.005,"EFSA",NA,NA
"dde",5e-04,"EPA",0.34,"EPA"
"ddt",5e-04,"EPA",0.34,"EPA"
"delta-hch",3e-04,"EPA",NA,NA
"deltamethrin",0.01,"EFSA",NA,NA
"diazinon",2e-04,"EFSA",NA,NA
"dibutyl-chlorendate",NA,NA,NA,NA
"dichlobenil",NA,NA,NA,NA
"dichlorvos",8e-05,"EFSA",0.29,"EPA"
"dieldrin",5e-05,"EPA",16,"EPA"
"diethyltoluamide",NA,NA,NA,NA
"difenocozole",0.01,"PPDB",NA,NA
"dimethachlor",0.1,"EFSA",NA,NA
"dimethoate",2e-04,"EPA",NA,NA
"disulfoton",4e-05,"EPA",NA,NA
"endosulfan",0.006,"EPA",NA,NA
"endosulfan-sulfate",0.006,"EPA",NA,NA
"endrin",3e-04,"EPA",NA,NA
"endrin-aldehyde",3e-04,"EPA",NA,NA
"endrin-ketone",3e-04,"EPA",NA,NA
"ethion",5e-04,"EPA",NA,NA
"famphur",NA,NA,NA,NA
"fenitrothion",0.005,"EFSA",NA,NA
"fenobucarb",NA,NA,NA,NA
"fenthion",0.01,"PPDB",NA,NA
"flazasulfuron",0.013,"EFSA",NA,NA
"gamma-hch",3e-04,"EPA",NA,NA
"heptachlor",5e-04,"EPA",4.5,"EPA"
"heptachlor epoxide",1.3e-05,"EPA",9.1,"EPA"
"hexachlorobenzene",8e-04,"EPA",1.6,"EPA"
"hexaconazole",0.005,"PPDB",NA,NA
"imidacloprid",0.06,"EFSA",NA,NA
"indoxacarb",0.005,"EFSA",NA,NA
"lambda-cyhalothrin",0.0025,"EFSA",NA,NA
"lindane",3e-04,"EPA",NA,NA
"malathion",0.02,"EPA",NA,NA
"metalaxyl",0.06,"EPA",NA,NA
"methoxychlor",0.005,"EPA",NA,NA
"metribuzin",0.0013,"EFSA",NA,NA
"o,p'-ddd",5e-04,"EPA",0.24,"EPA"
"o,p'-dde",5e-04,"EPA",0.34,"EPA"
"o,p'-ddt",5e-04,"EPA",0.34,"EPA"
"oxamyl",1e-04,"EFSA",NA,NA
"oxy-chlordane",5e-04,"EPA",0.35,"EPA"
"p,p'-ddd",5e-04,"EPA",0.24,"EPA"
"p,p'-dde",5e-04,"EPA",0.34,"EPA"
"p,p'-ddt",5e-04,"EPA",0.34,"EPA"
"parathion",6e-04,"EFSA",NA,NA
"parathion-methyl",0.00025,"EPA",NA,NA
"piperonyl-butoxide",0.2,"PPDB",NA,NA
"pirimiphos-methyl",0.004,"EFSA",NA,NA
"profenofos",0.03,"EFSA",NA,NA
"propamocarb",0.29,"EFSA",NA,NA
"propargite",0.02,"EPA",NA,NA
"propoxur",0.02,"EFSA",NA,NA
"pyrimethanil",0.17,"EFSA",NA,NA
"rotenone",0.004,"EPA",NA,NA
"tebuconazole",0.03,"EFSA",NA,NA
"thiamethoxam",0.026,"EFSA",NA,NA
"thionazin",NA,NA,NA,NA
"trans-chlordane",5e-04,"EPA",0.35,"EPA"
"trans-heptachlor-epoxide",1.3e-05,"EPA",9.1,"EPA"
"trans-nochlor",5e-04,"EPA",0.35,"EPA"
"zeta-cypermethrin",0.0015,"EFSA",NA,NA
