"pesticide","type","class","food","food_origin","food_group","k","n_samp","Mean","SD"
"2,4-D","Herbicide",NA,"Wheat","Plant Origin","Cereals",2,19,23.75,16.35
"acetamiprid","Insecticide","Neonicotinoid","Honey","Others","Others",14,110,8.49,15.73
"aldicarb","Insecticide","Carbamate","Honey","Others","Others",15,106,10.18,15.86
"aldrin","Insecticide","Organochlorine","Corn","Plant Origin","Cereals",3,9,72.79,18.99
"aldrin","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",2,36,9.81,6.12
"aldrin","Insecticide","Organochlorine","Honey","Others","Others",6,90,7.22,11.1
"aldrin","Insecticide","Organochlorine","Meat","Animal Orgin","Meat",6,30,1.56,11.94
"aldrin","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",4,20,18.06,21.11
"aldrin","Insecticide","Organochlorine","Millet","Plant Origin","Cereals",3,9,28.9,5.52
"aldrin","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",4,16,6,4.08
"aldrin","Insecticide","Organochlorine","Rice","Plant Origin","Cereals",3,9,53.57,17.91
"aldrin","Insecticide","Organochlorine","Sorghum","Plant Origin","Cereals",3,9,53.98,9.45
"aldrin","Insecticide","Organochlorine","Tea","Others","Others",10,30,310.26,12.93
"aldrin","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",4,21,5.04,6
"alpha-endosulfan","Insecticide","Organochlorine","Drinking water","Others","Others",4,40,10.07,10.12
"alpha-endosulfan","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",3,173,66.05,36.96
"alpha-endosulfan","Insecticide","Organochlorine","Honey","Others","Others",12,180,9.2,15.83
"alpha-endosulfan","Insecticide","Organochlorine","Khat","Others","Others",6,69,8.45,22.59
"alpha-endosulfan","Insecticide","Organochlorine","Meat","Animal Orgin","Meat",6,30,10.36,9.8
"alpha-endosulfan","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",33,165,4.14,17.34
"alpha-endosulfan","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",21,106,0.62,15.34
"alpha-endosulfan","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",20,104,4.31,12.14
"alpha-HCH","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",5,130,0.62,28.85
"alpha-HCH","Insecticide","Organochlorine","Honey","Others","Others",6,90,11.99,10.53
"alpha-HCH","Insecticide","Organochlorine","Khat","Others","Others",10,74,3.94,13.08
"alpha-HCH","Insecticide","Organochlorine","Meat","Animal Orgin","Meat",6,30,8.22,10.68
"alpha-HCH","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",3,15,5.44,4.45
"alpha-HCH","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",5,22,5.27,5.63
"alpha-HCH","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",4,21,5.65,6.51
"alpha-HCH","Insecticide","Organochlorine","Wheat","Plant Origin","Cereals",2,140,16.36,18.69
"benalaxyl","Fungicide",NA,"Fish","Animal Orgin","Meat",2,16,1.18,10
"bendiocarb","Insecticide","Carbamate","Cabbage","Plant Origin","Vegetables",2,212,0,170.21
"bendiocarb","Insecticide","Carbamate","Swiss chard","Plant Origin","Vegetables",2,70,2.1,29.2
"bendiocarb","Insecticide","Carbamate","Tomato","Plant Origin","Vegetables",2,182,0.07,20.24
"beta-endosulfan","Insecticide","Organochlorine","Drinking water","Others","Others",4,29,5.1,6.84
"beta-endosulfan","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",2,167,37.07,18.61
"beta-endosulfan","Insecticide","Organochlorine","Khat","Others","Others",5,39,2.89,9.99
"beta-endosulfan","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",33,165,3.87,18.5
"beta-endosulfan","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",20,100,0.69,14.9
"beta-endosulfan","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",20,100,14.9,10.1
"beta-HCH","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",5,130,0.82,29.19
"beta-HCH","Insecticide","Organochlorine","Honey","Others","Others",6,90,16.69,10.63
"beta-HCH","Insecticide","Organochlorine","Khat","Others","Others",10,74,12.53,19.01
"beta-HCH","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",5,22,4.75,6.99
"beta-HCH","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",4,21,7.69,6.09
