"pesticide","food","EDI_prob","HQ_p5","HQ_p50","HQ_p95","HQ_exceed","LCR_p5","LCR_p50","LCR_p95","LCR_exceed"
"2,4-D","Wheat",0.00201474997905873,0.0211035234152674,0.116099055240463,0.642318291655568,1.97,NA,NA,NA,NA
"Acetamiprid","Honey",6.53636899323874e-05,0.000372304359527837,0.00443846752783023,0.0498100545276007,0,NA,NA,NA,NA
"Aldicarb","Honey",7.77713563702519e-05,0.00296751041090189,0.0307888613142379,0.290726120025105,0.56,NA,NA,NA,NA
"Aldrin","Corn",0.00976639440395067,51.938573394126,220.490437684695,929.452753190071,100,0.0264886724310043,0.112450123219195,0.474020904126936,100
"Aldrin","Fish",0.000775870438572797,2.89897868757697,15.1035230924829,82.6801409988961,99.56,0.00147847913066425,0.00770279677716628,0.042166871909437,100
"Aldrin","Honey",5.52739998579612e-05,0.073601887479608,0.716495894524066,6.77272885819974,40.94,3.75369626146001e-05,0.000365412906207274,0.00345409171768187,82.71
"Aldrin","Meat",3.60898024910665e-05,0.00291603573982164,0.104174392454667,4.14420237008897,15.18,1.48717822730904e-06,5.31289401518803e-05,0.00211354320874537,38.53
"Aldrin","Milk",0.000906592395266569,1.82188290088808,14.0341581287092,107.21034266222,98.19,0.000929160279452919,0.00715742064564169,0.0546772747577325,99.97
"Aldrin","Millet",0.00283758406762673,16.3059298581945,65.5551978278585,263.848509295346,100,0.00831602422767921,0.0334331508922079,0.134562739740626,100
"Aldrin","Onion",0.000151227188700484,0.513427528967408,2.91198586913523,16.3290860271062,84.13,0.000261848039773378,0.00148511279325897,0.00832783387382417,99.47
"Aldrin","Rice",0.00178971763616048,9.10834114244894,39.6927034845207,174.090477915731,99.98,0.00464525398264896,0.0202432787771055,0.088786143737023,100
"Aldrin","Sorghum",0.00654269693961461,36.8514849751857,149.295497247167,620.255026006635,100,0.0187942573373447,0.0761407035960554,0.316330063263384,100
"Aldrin","Tea",0.00311017254958782,18.8159381993525,73.6096285161391,284.829947730674,100,0.00959612848166977,0.0375409105432309,0.145263273342644,100
"Aldrin","Tomato",0.000129248998001822,0.253483571204499,1.95869757253505,15.055560927894,69.97,0.000129276621314295,0.000998935761992878,0.00767833607322595,96.76
"Alpha-Endosulfan","Drinking Water",0.000327262575699087,0.0085882774108097,0.0371596831080947,0.157682098567402,0,NA,NA,NA,NA
"Alpha-Endosulfan","Fish",0.00506878136921662,0.0978868966539637,0.531231340741159,2.61163306621594,25.7,NA,NA,NA,NA
"Alpha-Endosulfan","Honey",7.0614774435407e-05,0.000401467290795626,0.00426340886361585,0.0450678353781228,0,NA,NA,NA,NA
"Alpha-Endosulfan","Khat",0.000322771666849914,0.000845473140492985,0.012660154000568,0.202345780376397,0.52,NA,NA,NA,NA
"Alpha-Endosulfan","Meat",0.000224889119529504,0.00298509538890855,0.0193509405912585,0.130760701092351,0.03,NA,NA,NA,NA
"Alpha-Endosulfan","Milk",0.000197927726038692,0.000249801442264802,0.00566011601582844,0.126657519518547,0.3,NA,NA,NA,NA
"Alpha-Endosulfan","Onion",1.29888985394812e-05,8.71431862066201e-07,7.01227398516511e-05,0.0054469628616493,0.01,NA,NA,NA,NA
"Alpha-Endosulfan","Tomato",0.000110335121476555,0.000242157658360773,0.00441847826195766,0.0707781774176065,0.09,NA,NA,NA,NA
"Alpha-Hch","Fish",0.000276389753757247,NA,NA,NA,NA,3.70425702193315e-08,4.61932370868433e-06,0.000526814079581278,14.1
"Alpha-Hch","Honey",8.9673793977811e-05,NA,NA,NA,NA,4.64197820384173e-05,0.000304740453938306,0.00189650833668737,83.67
"Alpha-Hch","Khat",0.00013549660270596,NA,NA,NA,NA,9.61590464086608e-06,0.000179841862316462,0.00327358876695851,62.84
"Alpha-Hch","Meat",0.000175909313271084,NA,NA,NA,NA,5.63524681076121e-05,0.000484604251627874,0.00392235815995054,88.44
"Alpha-Hch","Milk",0.000282703526425406,NA,NA,NA,NA,0.000149956656498401,0.000971845119081883,0.00596150022854697,97.79
"Alpha-Hch","Onion",0.000132130453142094,NA,NA,NA,NA,5.35499647381347e-05,0.000401135446227096,0.0028208895445352,87.02
"Alpha-Hch","Tomato",0.000141286477997226,NA,NA,NA,NA,5.42577975217895e-05,0.000412729550899367,0.00316430251795465,87.23
"Alpha-Hch","Wheat",0.00138639685407187,NA,NA,NA,NA,0.000527059718769717,0.00397238060293639,0.0323010044207403,99.84
"Benalaxyl","Fish",7.8552102761525e-05,4.74096103310236e-06,0.000184457762112694,0.0069245081677663,0,NA,NA,NA,NA
"Bendiocarb","Swiss Chard",6.85701638818746e-05,1.41745992280511e-05,0.000773620603237778,0.0447049427156019,0.24,NA,NA,NA,NA
"Bendiocarb","Tomato",1.57988178939347e-06,3.36492308582757e-09,1.06326835922531e-06,0.000333078463149135,0,NA,NA,NA,NA
"Beta-Endosulfan","Drinking Water",0.000167677970655182,0.00266266038162914,0.0156999225134396,0.0918932166213499,0,NA,NA,NA,NA
"Beta-Endosulfan","Fish",0.002801807530795,0.0621876813476821,0.295830473135738,1.41733510637434,10.15,NA,NA,NA,NA
"Beta-Endosulfan","Khat",0.000105621562314448,0.000173036650426449,0.00319541969813096,0.067334777461209,0.06,NA,NA,NA,NA
"Beta-Endosulfan","Milk",0.000202138801086605,0.000185736039937011,0.00484422252944882,0.119878279208199,0.42,NA,NA,NA,NA
"Beta-Endosulfan","Onion",1.99836812007985e-05,1.26144521628757e-06,9.36452948160872e-05,0.00704495162466185,0.02,NA,NA,NA,NA
"Beta-Endosulfan","Tomato",0.000383238404968336,0.00654143006745227,0.0367500210128487,0.208332290736688,0.07,NA,NA,NA,NA
"Beta-Hch","Fish",7.74931296334086e-05,NA,NA,NA,NA,2.3709974672648e-08,2.25130948490719e-06,0.000239077330790899,8.96
"Beta-Hch","Honey",0.000128367909560068,NA,NA,NA,NA,2.57431279598473e-05,0.00013895157443622,0.000739810354747143,62.38
"Beta-Hch","Khat",0.000442158180126764,NA,NA,NA,NA,3.27466895203321e-05,0.000297293427380036,0.00304104445277718,79.17
"Beta-Hch","Onion",0.000118410416794451,NA,NA,NA,NA,8.57675749701168e-06,8.50663209398397e-05,0.000806308450116109,45.32
"Beta-Hch","Tomato",0.000196556468438131,NA,NA,NA,NA,3.3167173335488e-05,0.000196907682643319,0.00116348469623496,73.62
"Butachlor","Fish",0.00112838621586615,NA,NA,NA,NA,NA,NA,NA,NA
"Carbaryl","Fish",2.40897277594413e-05,7.38887155519888e-07,7.91299074258097e-05,0.00781613335619991,0.03,NA,NA,NA,NA
"Carbaryl","Honey",6.44464616878347e-05,0.000293691862827716,0.0030032019970693,0.0318337678631759,0,NA,NA,NA,NA
"Carbofuran","Honey",3.54845858026674e-05,0.00297654194100375,0.0539894220636294,0.913202399446325,4.45,NA,NA,NA,NA
"Chlordane","Fish",0.000180633137516435,0.00118685799162007,0.0393607476740505,1.18418882058108,5.88,2.07700148533512e-07,6.88813084295884e-06,0.000207233043601688,9.89
"Chlordane","Milk",0.000916752886293909,0.0888125283987691,0.762880795292469,6.55781800227703,41.82,1.55421924697846e-05,0.000133504139176182,0.00114761815039848,58.33
"Chlorflurenol-Methyl","Tomato",0.0109542642824173,NA,NA,NA,NA,NA,NA,NA,NA
"Chlorothalonil","Meat",6.92877504375005e-05,0.000124004147242755,0.00147816957878452,0.0177736645639668,0.01,NA,NA,NA,NA
"Chlorpyrifos","Fish",0.000307683538087282,0.0011191042828178,0.0339254332251728,0.98305940625036,4.95,NA,NA,NA,NA
"Chlorpyrifos","Honey",6.20210016015893e-05,0.00133857579588963,0.0173799170246252,0.248023700687184,0.53,NA,NA,NA,NA
"Chlorpyrifos","Pineapple",6.18258420379043e-05,0.000266238492592271,0.00752824643090661,0.220888956584987,0.84,NA,NA,NA,NA
"Chlorpyrifos","Potato",8.87353061395525e-05,0.000411750047980155,0.0111205629754768,0.316743637176912,1.34,NA,NA,NA,NA
